% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:40
% Dimension:          2
% Nodes:              4256
% Expressions:        7
% Description:        Temperature
% Length unit:        m
% x                       y                        T (K) @ Ra=1             T (K) @ Ra=10            T (K) @ Ra=100           T (K) @ Ra=1000          T (K) @ Ra=10000         T (K) @ Ra=1E5           T (K) @ Ra=1E6
0.009177074824564901      0.4457187676941557       0.009176233508434606     0.009168796024578069     0.00910778116989825      0.009622281186801293     0.019610265193033657     0.0386521260687509       0.06947756114264626
0.2897017240175085        0.016203082695962958     0.28958105434813636      0.2884968940323566       0.27785699247086765      0.20022129230455113      0.1437992512399223       0.1463818464385304       0.145244192096831
0.29971654768936173       0                        0.2995928650398265       0.2984815517479016       0.287567195322831        0.20742732889502738      0.14749694583383635      0.14885965602327805      0.14655456247409115
0.3097305031167377        0.01620321093385631      0.3096036640525543       0.30846391734315715      0.29726334799398574      0.21459114610509003      0.15140072452078832      0.15185264963166192      0.14844786604701732
0.3197448929204256        0                        0.31961529863952487      0.31845070390331576      0.3069972277573314       0.2219015486551137       0.15498190078974913      0.15415879583072437      0.14966475596289794
0.3297589966638636        0.016203252352704398     0.32962649230685187      0.3284356659364085       0.3167164658373783       0.2291603498609142       0.1587608326171204       0.15692497231865768      0.15132753519086153
0.3397732381514893        0                        0.33963825298863676      0.3384250341175152       0.32647604508200834      0.23659146703987513      0.16223855177591714      0.1590766201329788       0.15245801458907368
0                         0.46                     0                        0                        0                        0                        0                        0                        0
0.009165574667845771      0.45571589790707695      0.009164887957533006     0.009158841920478512     0.00911172327857193      0.00975005777643121      0.02005534751569248      0.039360395706083344     0.07069398653303087
0                         0.4700000000000001       0                        0                        0                        0                        0                        0                        0
0.00914906774194878       0.4656776362052181       0.009148534977114249     0.009143874332082772     0.00911058036271297      0.009871206023165156     0.02048120136854145      0.04003352436392949      0.07190224864103228
0.34978738975561036       0.01620326346645669      0.3496497585469709       0.34841266960363887      0.33622008808479736      0.24396074515528074      0.16590346832614786      0.16163609947874916      0.1539349873068234
0.3598015833825532        0                        0.3596617608587778       0.3584048716861495       0.34600707790590585      0.2515294022568143       0.16929241796376973      0.1636491436385961       0.15498790558079306
0                         0.4800000000000001       0                        0                        0                        0                        0                        0                        0
