% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:41
% Dimension:          2
% Nodes:              4256
% Expressions:        14
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s) @ Ra=1           v (m/s) @ Ra=1           u (m/s) @ Ra=10          v (m/s) @ Ra=10          u (m/s) @ Ra=100         v (m/s) @ Ra=100         u (m/s) @ Ra=1000        v (m/s) @ Ra=1000        u (m/s) @ Ra=10000       v (m/s) @ Ra=10000       u (m/s) @ Ra=1E5         v (m/s) @ Ra=1E5         u (m/s) @ Ra=1E6         v (m/s) @ Ra=1E6
0                         0.17000000000000004      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00880823346680659       0.16518151523451438      8.909858021444258E-6     -2.2330331321011713E-4   8.897682148730747E-5     -0.002228276226729992    8.774030630655326E-4     -0.02180905540712205     0.007573619497838114     -0.17880953767532304     0.04778365596807666      -1.2202036262839207      0.3100594485110953       -9.008556825857143       2.123228889266531        -66.32135950537993
0                         0.18000000000000005      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008853312534846799      0.17509258977752265      9.05908757514004E-6      -2.4468025791906E-4      9.047765173966618E-5     -0.002441759799115637    8.932332199668125E-4     -0.02391483987797632     0.007778789668107068     -0.1970325659980371      0.049152600802681294     -1.3356034722142258      0.31818615146403567      -9.754927269091786       2.051948396040613        -71.12101342112622
0.06914536917629295       0.01566107404724847      8.30182217247511E-5      -1.938337563031793E-5    8.276966840215155E-4     -1.9339132145448112E-4   0.008032313246978388     -0.0018898952169305214   0.062137458715875594     -0.015321802004707535    0.4943264469387451       -0.11405171643951696     4.944543171520457        -1.00643128428106        44.86944011916297        -8.338159302045554
0.07940475014765969       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008934043152690613      0.18496341679980885      9.00116759657643E-6      -2.669188681873734E-4    8.990686261615973E-5     -0.0026638614486081576   8.8835401286443E-4       -0.0261069101990944      0.0077909669584442535    -0.21609810612976452     0.04954001042772935      -1.4570979618595497      0.32303855937636244      -10.546542832191347      2.051862548965403        -76.07098863585037
0                         0.19000000000000003      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.08896757513303588       0.01594413147279219      1.3773118147396204E-4    -2.3968126100810425E-5   0.0013737272841413866    -2.3924286722352243E-4   0.013382646731136523     -0.0023483441762179006   0.10628151017289215      -0.01959459009914205     0.8134797454010275       -0.1402372622920485      7.557214024698303        -1.1199201808247088      63.77192760979536        -7.706700592875252
0.09943309537872358       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009055225630387133      0.19491592494422805      9.024716001022058E-6     -2.905984606578736E-4    9.015131989535608E-5     -0.0029003688478204804   8.916760614524798E-4     -0.028442575328904807    0.007884249769519366     -0.23651748520427215     0.05047276117228556      -1.588072206273871       0.32987253621933216      -11.402285993345975      2.0050253745381403       -81.2136633060652
0                         0.20000000000000007      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00898161059603693       0.20494009646339362      8.735622951617378E-6     -3.083259894139355E-4    8.727674305926215E-5     -0.003077489494281195    8.645398372375822E-4     -0.030197721991242297    0.007731945125064396     -0.25224772753597496     0.04972846361128802      -1.688443757953756       0.3190664642555526       -12.039320169315145      1.6184054076969903       -84.58048026546815
0                         0.21000000000000005      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.22000000000000003      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008894383151835276      0.21512373286199177      8.53577353117149E-6      -3.2476731366891344E-4   8.528794500922189E-5     -0.0032417892682815494   8.456224568527314E-4     -0.031828753228202646    0.007625573796812425     -0.2670693664896498      0.049774205886880814     -1.7838145880361118      0.322589316938783        -12.636769189071176      1.6648746864892676       -87.27952385361512
0                         0.23                     0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009094264015196219      0.22531164632398937      8.707652608520499E-6     -3.515221365410052E-4    8.701584913632872E-5     -0.003509064061255726    8.637945787355361E-4     -0.034473472302027235    0.007869288408779004     -0.29059585508198205     0.05209050797350726      -1.9388295432274598      0.33568703443887515      -13.65130506041662       1.5608735623043162       -92.60315207369864
0.10916040076660984       0.015867443447679375     1.9850233645202168E-4    -2.633396780176236E-5    0.001980467294312373     -2.629578745036052E-4    0.019351612787104067     -0.0025906517815372653   0.15679864834755972      -0.022124625781325704    1.166031777428454        -0.15317605308867052     10.167062269379521       -1.0998339799520307      79.07398051406203        -5.593584585656463
0.11946144060978736       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.24000000000000005      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009212098729581559      0.23539691744409322      8.604239199980333E-6     -3.7523877891507997E-4   8.599762887185967E-5     -0.0037460395855068718   8.551798956610027E-4     -0.03682341404675343     0.007899527399442571     -0.31185046194092864     0.052990967750509814     -2.0799909901209808      0.3354034197572759       -14.552944628912615      1.447290098423629        -96.72432085635684
0                         0.2500000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009241887759586528      0.24545293142699523      8.483556891796656E-6     -3.951858836595844E-4    8.479925993010623E-5     -0.003945399792559172    8.440497392512934E-4     -0.03880523844549385     0.007865929660884993     -0.3301333897384123      0.05382732018157146      -2.2035784896342467      0.3428884491519426       -15.335185935150507      1.4840911209608405       -100.15623599503259
0.12925119427689663       0.016047811000572735     2.6752117771070087E-4    -2.843777569487256E-5    0.002669764656486055     -2.840609760051851E-4    0.026153018505561853     -0.002807672258213319    0.21543335536568917      -0.0244586860383316      1.562908314718773        -0.16360215798113772     12.810826718009276       -1.0312753844973026      90.43691502823641        -3.048091059400194
0.13948978584085125       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.27000000000000013      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.2600000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00911854530053245       0.265437827156171        7.692052478000202E-6     -4.258109973906816E-4    7.691388669902527E-5     -0.00425163667997533     7.68163745012521E-4      -0.041864851958846726    0.007360680852453197     -0.3594812861225098      0.05219094184548675      -2.40859642866255        0.32008322659436184      -16.585846773825853      1.0547443362472182       -104.46478925544325
0.009234026441771315      0.2554452746652975       8.366243901728955E-6     -4.1319036060561467E-4   8.363968367502873E-5     -0.0041253890067465505   8.338008935047505E-4     -0.040598874325680316    0.007871768677343445     -0.34700134383206666     0.05485033237380286      -2.319540044494715       0.34578465271557907      -16.051948269072465      1.4184382720332984       -102.8469493761434
0                         0.2800000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00905480046162791       0.27555858467419503      7.340353872949656E-6     -4.3953285590166065E-4   7.341136476365067E-5     -0.004388899944822079    7.345850106701333E-4     -0.043241291304054325    0.00714831587476735      -0.37306713167190364     0.05165418201600974      -2.5064393818925272      0.31127223315357555      -17.155726160834732      1.107237140092325        -105.90659788458758
0                         0.29000000000000004      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009116298212348347      0.285657464811936        7.241242263274833E-6     -4.5877802114660944E-4   7.24317014075429E-5      -0.004581338510020221    7.259362680435423E-4     -0.04516364217692862     0.007160829943619544     -0.39155791277358576     0.05287732473607263      -2.6395969719571037      0.31575255626494986      -17.957717212098046      1.0991099877283108       -108.95855847027123
0.1493357088251796        0.016160106203232126     3.395926320247361E-4     -2.95249262109484E-5     0.003389773779221623     -2.9501063422150714E-4   0.03327892543923455      -0.0029245074267842466   0.27798566178545453      -0.02592204283206237     1.97150964296625         -0.16691560057027297     15.180979831425256       -0.8921299398955095      95.99067424501249        -0.3810313614511284
0.15951813107191493       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.30000000000000004      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009126473672716053      0.295627722144196        6.893942826058857E-6     -4.7489353818573355E-4   6.89754501657863E-5      -0.004742548346539011    6.93043402170762E-4      -0.046780506665996986    0.006970838170538419     -0.4075949705629676      0.052450723598626514     -2.758106317649093       0.30257408957422854      -18.63996160374033       0.959259259374539        -111.08440808828607
0                         0.3100000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009131609520517508      0.30561121499058436      6.531676980079518E-6     -4.899920361517914E-4    6.536330507118606E-5     -0.004893615759958344    6.579876806392226E-4     -0.048298757759771556    0.00672133028788935      -0.42291000674462925     0.05170620741196091      -2.8740333615003135      0.29433732227304826      -19.301852731022652      0.9390767976026986       -113.2817164498443
0.16943811761430644       0.016170452342089157     4.11172195855314E-4      -2.9625377892837023E-5   0.00410508628385963      -2.960976469309612E-4    0.04037908056723771      -0.0029432228866236934   0.34137149533720607      -0.02648798666741475     2.3687533454416445       -0.16325641134354987     17.09965091486205        -0.7036485132247056      95.67942457200012        1.8623014303413699
0.17954647630297882       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0                         0.3200000000000001       0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.009159106437253331      0.3156053882159105       6.212738244232801E-6     -5.054927718429939E-4    6.219265898307705E-5     -0.005048729362463887    6.28146380598927E-4      -0.049859817366269384    0.006575359816369472     -0.43882625340075965     0.05161950119014989      -2.9956426022660883      0.28246216425119286      -19.970422302562408      0.9110500690019228       -115.30083811467141
